CATEGORY,START_TIME,ROAD
2,2023-01-10 22:03:00,Московская
2,2023-02-10 05:45:00,Московская
3,2023-04-10 04:35:00,Октябрьская
1,2023-04-10 19:15:00,Забайкальская
3,2023-06-10 09:17:00,Октябрьская
3,2023-06-10 21:30:00,Московская
2,2023-06-10 23:37:00,Восточно-Сибирская
3,2023-07-10 14:35:00,Октябрьская
3,2023-08-10 08:00:00,Октябрьская
3,2023-08-10 08:00:00,Октябрьская
3,2023-08-10 08:00:00,Свердловская
2,2023-08-10 14:48:00,Красноярская
3,2023-09-10 07:30:00,Октябрьская
3,2023-09-10 09:15:00,Южно-Уральская
2,2023-09-10 20:08:00,Свердловская
3,2023-10-10 19:58:00,Московская
2,2023-11-10 02:27:00,Октябрьская
2,2023-11-10 21:01:00,Октябрьская
3,2023-12-10 05:10:00,Октябрьская
3,2023-10-14 07:00:00,Октябрьская
2,2023-10-14 18:20:00,Октябрьская
3,2023-10-15 19:10:00,Московская
3,2023-10-15 23:17:00,Красноярская
2,2023-10-16 12:30:00,Московская
2,2023-10-16 20:40:00,Северо-Кавказская
1,2023-10-17 01:00:00,Горьковская
3,2023-10-17 07:15:00,Западно-Сибирская
3,2023-10-17 12:49:00,Октябрьская
3,2023-10-17 16:14:00,Октябрьская
3,2023-10-17 19:20:00,Красноярская
2,2023-10-17 21:24:00,Красноярская
3,2023-10-19 09:56:00,Свердловская
3,2023-10-20 06:35:00,Московская
3,2023-10-21 16:49:00,Октябрьская
3,2023-10-21 20:00:00,Октябрьская
2,2023-10-22 07:51:00,Московская
3,2023-10-22 18:29:00,Западно-Сибирская
3,2023-10-23 18:43:00,Западно-Сибирская
2,2023-10-24 00:20:00,Московская
3,2023-10-24 14:37:00,Западно-Сибирская
3,2023-10-25 00:10:00,Октябрьская
3,2023-10-25 06:37:00,Октябрьская
3,2023-10-25 18:30:00,Октябрьская
1,2023-10-26 00:19:00,Дальневосточная
3,2023-10-26 11:00:00,Западно-Сибирская
3,2023-10-27 21:26:00,Октябрьская
3,2023-10-28 11:43:00,Октябрьская
2,2023-10-28 12:41:00,Октябрьская
3,2023-10-29 23:40:00,Западно-Сибирская
3,2023-10-30 10:35:00,Октябрьская
1,2023-10-30 16:00:00,Северо-Кавказская
3,2023-10-30 22:04:00,Октябрьская
3,2023-10-31 02:55:00,Октябрьская
3,2023-10-31 08:25:00,Западно-Сибирская
3,2023-10-31 10:15:00,Западно-Сибирская
3,2023-10-31 23:58:00,Свердловская
