CATEGORY,START_TIME,ROAD
3,2024-04-21 09:21:00,Свердловская
2,2024-04-21 14:49:00,Забайкальская
2,2024-04-21 17:00:00,Дальневосточная
3,2024-04-21 18:35:00,Красноярская
3,2024-04-21 19:14:00,Красноярская
3,2024-04-22 02:15:00,Красноярская
3,2024-04-22 03:40:00,Красноярская
3,2024-04-22 05:21:00,Восточно-Сибирская
1,2024-04-22 08:00:00,Октябрьская
2,2024-04-22 11:34:00,Дальневосточная
3,2024-04-22 16:00:00,Красноярская
3,2024-04-23 01:12:00,Свердловская
2,2024-04-23 06:29:00,Восточно-Сибирская
2,2024-04-23 09:10:00,Свердловская
3,2024-04-23 10:42:00,Красноярская
2,2024-04-23 13:18:00,Северная
3,2024-04-23 15:38:00,Южно-Уральская
3,2024-04-23 21:58:00,Забайкальская
2,2024-04-24 02:14:00,Красноярская
3,2024-04-24 03:07:00,Красноярская
3,2024-04-24 07:20:00,Красноярская
2,2024-04-24 07:30:00,Забайкальская
3,2024-04-24 07:33:00,Южно-Уральская
3,2024-04-25 10:18:00,Западно-Сибирская
3,2024-04-25 15:03:00,Восточно-Сибирская
2,2024-04-25 16:20:00,Восточно-Сибирская
3,2024-04-25 17:00:00,Красноярская
2,2024-04-25 17:50:00,Восточно-Сибирская
3,2024-04-25 21:10:00,Красноярская
3,2024-04-26 05:13:00,Южно-Уральская
2,2024-04-26 08:40:00,Забайкальская
2,2024-04-26 13:47:00,Забайкальская
3,2024-04-26 15:57:00,Красноярская
3,2024-04-27 00:04:00,Дальневосточная
2,2024-04-27 01:00:00,Восточно-Сибирская
2,2024-04-27 12:06:00,Восточно-Сибирская
2,2024-04-27 17:20:00,Забайкальская
3,2024-04-27 19:55:00,Западно-Сибирская
1,2024-04-27 20:43:00,Забайкальская
3,2024-04-28 06:20:00,Красноярская
3,2024-04-28 10:20:00,Красноярская
2,2024-04-28 23:55:00,Восточно-Сибирская
3,2024-04-29 00:45:00,Западно-Сибирская
3,2024-04-30 03:16:00,Южно-Уральская
3,2024-04-30 04:30:00,Забайкальская
2,2024-04-30 07:45:00,Красноярская
2,2024-04-30 09:10:00,Свердловская
3,2024-04-30 10:49:00,Свердловская
3,2024-04-30 12:24:00,Дальневосточная
2,2024-04-30 13:35:00,Северная
2,2024-04-30 22:42:00,Восточно-Сибирская
3,2024-01-05 06:35:00,Красноярская
2,2024-01-05 08:37:00,Красноярская
3,2024-01-05 10:00:00,Забайкальская
3,2024-01-05 10:55:00,Забайкальская
2,2024-01-05 14:00:00,Восточно-Сибирская
2,2024-01-05 14:40:00,Красноярская
3,2024-02-05 04:13:00,Южно-Уральская
3,2024-02-05 08:57:00,Восточно-Сибирская
2,2024-02-05 11:04:00,Восточно-Сибирская
2,2024-02-05 11:20:00,Северная
3,2024-02-05 14:15:00,Октябрьская
3,2024-04-05 01:30:00,Восточно-Сибирская
2,2024-04-05 22:30:00,Восточно-Сибирская
2,2024-04-05 23:30:00,Красноярская
3,2024-05-05 10:00:00,Красноярская
2,2024-06-05 06:14:00,Дальневосточная
3,2024-06-05 06:55:00,Южно-Уральская
3,2024-06-05 16:23:00,Красноярская
3,2024-06-05 16:40:00,Восточно-Сибирская
3,2024-06-05 18:45:00,Восточно-Сибирская
2,2024-07-05 03:20:00,Восточно-Сибирская
2,2024-07-05 13:34:00,Восточно-Сибирская
3,2024-08-05 12:49:00,Юго-Восточная
3,2024-08-05 17:51:00,Восточно-Сибирская
2,2024-08-05 19:01:00,Восточно-Сибирская
3,2024-09-05 14:40:00,Забайкальская
3,2024-09-05 15:46:00,Западно-Сибирская
2,2024-10-05 00:13:00,Дальневосточная
2,2024-10-05 00:22:00,Восточно-Сибирская
3,2024-10-05 16:53:00,Свердловская
3,2024-10-05 19:11:00,Красноярская
3,2024-11-05 00:15:00,Западно-Сибирская
3,2024-11-05 17:39:00,Восточно-Сибирская
3,2024-12-05 05:30:00,Забайкальская
3,2024-12-05 06:29:00,Восточно-Сибирская
1,2024-12-05 11:15:00,Забайкальская
